umls	mondo	parent
UMLS:C0238052	MONDO:0008948	xanthomatosis,lysosomal lipid storage disorder,inherited lipid metabolism disorder,inborn errors of metabolism,hereditary disease,human disease,disease
UMLS:C0042384	MONDO:0018882	vascular disorder,cardiovascular disorder,human disease,disease
UMLS:C0399373		disease
UMLS:C1845070	MONDO:0010388	rolandic epilepsy-speech dyspraxia syndrome,childhood-onset epilepsy syndrome,epilepsy syndrome,epilepsy,brain disorder,central nervous system disorder,nervous system disorder,human disease,disease
UMLS:C0006309	MONDO:0005683	primary bacterial infectious disease,bacterial infectious disease,infectious disease,human disease,disease
UMLS:C5193014	MONDO:0020820	autosomal dominant disease,autosomal genetic disease,hereditary disease,human disease,disease
UMLS:C3151187	MONDO:0013443	Seckel syndrome,syndromic disease,human disease,disease
UMLS:C0030193		disease
UMLS:C0392550	MONDO:0001170	palsy,central nervous system disorder,nervous system disorder,human disease,disease
UMLS:C2937358	MONDO:0013792	cerebrovascular disorder,brain disorder,central nervous system disorder,nervous system disorder,human disease,disease
UMLS:C1858674	MONDO:0011891	febrile seizures, familial,hereditary disease,human disease,disease
UMLS:C0007766	MONDO:0005291	cerebral arterial disease,intracranial arterial disease,cerebrovascular disorder,brain disorder,central nervous system disorder,nervous system disorder,human disease,disease
UMLS:C0013423	MONDO:0007492, MONDO:0007493, MONDO:0007495, MONDO:0011264, MONDO:0011886, MONDO:0008044, MONDO:0014627, MONDO:0013813, MONDO:0009141, MONDO:0000476, MONDO:0014033, MONDO:0044811, MONDO:0044843, MONDO:0012895, MONDO:0010747	early-onset generalized dystonia,generalized dystonia,isolated dystonia,inherited dystonia,dystonic disorder,extrapyramidal and movement disease,movement disorder,nervous system disorder,human disease,disease
UMLS:C0023896	MONDO:0043693	liver disorder,hepatobiliary disorder,digestive system disorder,human disease,disease
UMLS:C2936419	MONDO:0100249	46,XX disorder of sex development,disorder of sexual differentiation,gonadal disorder,reproductive system disorder,human disease,disease
UMLS:C1321551	MONDO:0008426	multiple congenital anomalies/dysmorphic syndrome-intellectual disability,multiple congenital anomalies/dysmorphic syndrome,developmental defect during embryogenesis,disorder of development or morphogenesis,human disease,disease
UMLS:C1860788		disease
UMLS:C0008312	MONDO:0005388	biliary tract disorder,hepatobiliary disorder,digestive system disorder,human disease,disease
UMLS:C0003460	MONDO:0002476	kidney disorder,urinary system disorder,human disease,disease
UMLS:C0279626	MONDO:0005580	squamous cell carcinoma,squamous cell neoplasm,epithelial neoplasm,neoplasm,neoplastic disease or syndrome,cancer or benign tumor,human disease,disease
UMLS:C0151889	MONDO:0007774	hereditary disease,human disease,disease
UMLS:C0752166	MONDO:0015229	syndromic disease,human disease,disease
UMLS:C0399352	MONDO:0008797, MONDO:0005486	hereditary disease,human disease,disease
UMLS:C4275012	MONDO:0010239	classic lissencephaly,lissencephaly spectrum disorders,congenital nervous system disorder,nervous system disorder,human disease,disease
UMLS:C1955870	MONDO:0013415	chromosome 17p deletion,partial deletion of chromosome 17,syndrome caused by partial chromosomal deletion,chromosomal disorder,human disease,disease
UMLS:C0007820	MONDO:0011057	brain disorder,central nervous system disorder,nervous system disorder,human disease,disease
UMLS:C0085548	MONDO:0009889, MONDO:0033004	autosomal recessive disease,autosomal genetic disease,hereditary disease,human disease,disease
UMLS:C2673700		disease
UMLS:C3495498	MONDO:0008647, MONDO:0024573	familial hypertrophic cardiomyopathy,hypertrophic cardiomyopathy,intrinsic cardiomyopathy,cardiomyopathy,muscle tissue disorder,musculoskeletal system disorder,human disease,disease
UMLS:C0687132		disease
UMLS:C0027055		disease
UMLS:C0023014		disease
UMLS:C0035243	MONDO:0024355	respiratory system disorder,human disease,disease
UMLS:C0393588	MONDO:0016058	combined dystonia,inherited dystonia,dystonic disorder,extrapyramidal and movement disease,movement disorder,nervous system disorder,human disease,disease
UMLS:C0005398	MONDO:0006757	cholestasis,bile duct disorder,biliary tract disorder,hepatobiliary disorder,digestive system disorder,human disease,disease
UMLS:C5680508	MONDO:0015784	Prader-Willi syndrome due to paternal 15q11q13 deletion,Prader-Willi syndrome,syndromic disease,human disease,disease
UMLS:C3553886	MONDO:0013923	autosomal recessive primary microcephaly,autosomal recessive disease,autosomal genetic disease,hereditary disease,human disease,disease
UMLS:C1864849	MONDO:0012507	cone dystrophy,hereditary macular dystrophy,inherited retinal dystrophy,retinal degeneration,retinal disorder,nervous system disorder,human disease,disease
UMLS:C1848954	MONDO:0000476	isolated dystonia,inherited dystonia,dystonic disorder,extrapyramidal and movement disease,movement disorder,nervous system disorder,human disease,disease
UMLS:C0005967	MONDO:0002129, MONDO:0019060	musculoskeletal system cancer,musculoskeletal system disorder,human disease,disease
UMLS:C0220668	MONDO:0007363	congenital nervous system disorder,nervous system disorder,human disease,disease
UMLS:C5779549	MONDO:0019588	autosomal recessive disease,autosomal genetic disease,hereditary disease,human disease,disease
UMLS:C0270496		disease
UMLS:C5193097	MONDO:0032750	autosomal dominant disease,autosomal genetic disease,hereditary disease,human disease,disease
UMLS:C0740302	MONDO:0007925, MONDO:0016904	macrocytic anemia,anemia,hematologic disorder,human disease,disease
UMLS:C2677903	MONDO:0010417	central nervous system malformation,nervous system disorder,human disease,disease
UMLS:C0344724	MONDO:0006664, MONDO:0020434	heart septal defect,congenital heart disease,heart disorder,cardiovascular disorder,human disease,disease
UMLS:C0030305	MONDO:0004982	pancreas disorder,digestive system disorder,human disease,disease
UMLS:C0019372	MONDO:0005794	primary viral infectious disease,viral infectious disease,infectious disease,human disease,disease
UMLS:C0154631	MONDO:0001697	learning disability,specific developmental disorder,developmental disorder of mental health,mental disorder,psychiatric disorder,human disease,disease
UMLS:C0029445	MONDO:0005380	bone disorder,skeletal system disorder,musculoskeletal system disorder,human disease,disease
UMLS:C0005122	MONDO:0006676, MONDO:0024182	vitamin B deficiency,vitamin deficiency disorder,nutritional deficiency disease,nutritional disorder,human disease,disease
UMLS:C0042165	MONDO:0006651	uveitis,uveal disorder,eye disorder,disorder of orbital region,human disease,disease
UMLS:C0025294	MONDO:0018059	meningococcal infection,bacterial infectious disease,infectious disease,human disease,disease
UMLS:C0239548		disease
UMLS:C0265998	MONDO:0008798, MONDO:0019211	isolated congenital anonychia,inherited isolated nail anomaly,nail disorder,integumentary system disorder,human disease,disease
UMLS:C0027661		disease
UMLS:C0341698		disease
UMLS:C1839928	MONDO:0011119, MONDO:0024456, MONDO:0010633	anterior segment dysgenesis,hereditary disease,human disease,disease
UMLS:C3714927	MONDO:0020715	inherited disease susceptibility,disease susceptibility
UMLS:C0796195	MONDO:0010709	X-linked syndromic intellectual disability,syndromic intellectual disability,intellectual disability,developmental disorder of mental health,mental disorder,psychiatric disorder,human disease,disease
UMLS:C0155862	MONDO:0005972	bacterial pneumonia,bacterial infectious disease,infectious disease,human disease,disease
UMLS:C1704429	MONDO:0017773	metabolic disease,human disease,disease
UMLS:C0085584	MONDO:0005560	central nervous system disorder,nervous system disorder,human disease,disease
UMLS:C4310715	MONDO:0014918	hereditary disease,human disease,disease
UMLS:C1623209	MONDO:0007473, MONDO:0011812	syndromic disease,human disease,disease
UMLS:C0878676	MONDO:0009863	hyperphenylalaninemia due to tetrahydrobiopterin deficiency,inborn disorder of amino acid metabolism,inborn errors of metabolism,hereditary disease,human disease,disease
UMLS:C3502809	MONDO:0018214	epilepsy,brain disorder,central nervous system disorder,nervous system disorder,human disease,disease
UMLS:C4021808		disease
UMLS:C3541518	MONDO:0007514	hereditary disease,human disease,disease
UMLS:C0339143	MONDO:0018756	autoimmune disease,immune system disorder,human disease,disease
UMLS:C1865304		disease
UMLS:C1853118	MONDO:0018542	hereditary disease,human disease,disease
UMLS:C4022839		disease
UMLS:C0433856		disease
UMLS:C0432217	MONDO:0009192	syndromic disease,human disease,disease
UMLS:C4225330	MONDO:0014635	microphthalmia, isolated, with coloboma,isolated microphthalmia,hereditary disease,human disease,disease
UMLS:C0017181	MONDO:0004242	peptic ulcer disease,digestive system disorder,human disease,disease
UMLS:C0036529	MONDO:0004994	muscle tissue disorder,musculoskeletal system disorder,human disease,disease
UMLS:C0157721	MONDO:0018746	autoimmune bullous skin disease,dermatitis,skin disorder,integumentary system disorder,human disease,disease
UMLS:C0857007		disease
UMLS:C5679590		disease
UMLS:C0264490	MONDO:0001208, MONDO:0021113	acute disease,human disease,disease
UMLS:C4510897	MONDO:0017136	skeletal dysplasia,hereditary disease,human disease,disease
UMLS:C1510502	MONDO:0003424, MONDO:0010795	adenoma,epithelial neoplasm,neoplasm,neoplastic disease or syndrome,cancer or benign tumor,human disease,disease
UMLS:C1851286	MONDO:0007514, MONDO:0015998	hereditary disease,human disease,disease
UMLS:C0344529	MONDO:0000733	corneal disorder,eye disorder,disorder of orbital region,human disease,disease
UMLS:C1527168	MONDO:0019499, MONDO:0100492	gonadal dysgenesis,hypogonadism,gonadal disorder,reproductive system disorder,human disease,disease
UMLS:C1836996		disease
UMLS:C3554224	MONDO:0013991	congenital hypogonadotropic hypogonadism,hypogonadotropic hypogonadism,hypogonadism,gonadal disorder,reproductive system disorder,human disease,disease
UMLS:C1514422	MONDO:0018177, MONDO:0850335	high grade astrocytic tumor,astrocytic tumor,glioma,neuroepithelial neoplasm,nervous system neoplasm,neoplasm,neoplastic disease or syndrome,cancer or benign tumor,human disease,disease
UMLS:C0751038	MONDO:0019570, MONDO:0016006	Cockayne syndrome,autosomal recessive disease,autosomal genetic disease,hereditary disease,human disease,disease
UMLS:C0524662	MONDO:0005530	drug dependence,substance dependence,substance-related disorder,psychiatric disorder,human disease,disease
UMLS:C0400966	MONDO:0013209	fatty liver disease,liver disorder,hepatobiliary disorder,digestive system disorder,human disease,disease
UMLS:C4274995	MONDO:0019450	lissencephaly spectrum disorders,congenital nervous system disorder,nervous system disorder,human disease,disease
UMLS:C0426817		disease
UMLS:C0149649	MONDO:0005568	vascular disorder,cardiovascular disorder,human disease,disease
UMLS:C0265333	MONDO:0008592	skeletal dysplasia,hereditary disease,human disease,disease
UMLS:C0342473		disease
UMLS:C0238463	MONDO:0005075	papillary adenocarcinoma,adenocarcinoma,carcinoma,cancer,neoplasm,neoplastic disease or syndrome,cancer or benign tumor,human disease,disease
UMLS:C0015530	MONDO:0002241, MONDO:0018029	coagulation protein disease,blood coagulation disease,hematologic disorder,human disease,disease
UMLS:C0013369	MONDO:0001517, MONDO:0001673	inflammatory diarrhea,gastrointestinal mucositis,digestive system disorder,human disease,disease
UMLS:C5676966	MONDO:0030736	46 XX gonadal dysgenesis,gonadal dysgenesis,hypogonadism,gonadal disorder,reproductive system disorder,human disease,disease
UMLS:C5681191	MONDO:0018611	cataract 16 multiple types,early-onset zonular cataract,early-onset partial cataract,early-onset non-syndromic cataract,cataract,lens disorder,eye disorder,disorder of orbital region,human disease,disease
UMLS:C0039841	MONDO:0006676	vitamin B deficiency,vitamin deficiency disorder,nutritional deficiency disease,nutritional disorder,human disease,disease
UMLS:C1868681	MONDO:0007496	combined dystonia,inherited dystonia,dystonic disorder,extrapyramidal and movement disease,movement disorder,nervous system disorder,human disease,disease
UMLS:C0221043	MONDO:0008323, MONDO:0020607	syndromic disease,human disease,disease
UMLS:C0154088	MONDO:0006234	in situ carcinoma,carcinoma,cancer,neoplasm,neoplastic disease or syndrome,cancer or benign tumor,human disease,disease
UMLS:C0020757	MONDO:0019269	epidermal disease,skin disorder,integumentary system disorder,human disease,disease
UMLS:C1968843	MONDO:0012709	microphthalmia, isolated, with coloboma,isolated microphthalmia,hereditary disease,human disease,disease
UMLS:C0221355	MONDO:0016608, MONDO:0017089	brain disorder,central nervous system disorder,nervous system disorder,human disease,disease
UMLS:C0036202	MONDO:0008399, MONDO:0019338	inherited disease susceptibility,disease susceptibility
UMLS:C0155020	MONDO:0001941	vision disorder,perceptual disorders,psychiatric disorder,human disease,disease
UMLS:C2932714	MONDO:0016759	bulbospinal muscular atrophy,spinal muscular atrophy,anterior horn disorder,spinal cord disorder,central nervous system disorder,nervous system disorder,human disease,disease
UMLS:C5554235	MONDO:0020352	multiple system atrophy,synucleinopathy,inborn errors of metabolism,hereditary disease,human disease,disease
UMLS:C0026837		disease
UMLS:C1837658		disease
UMLS:C4511004	MONDO:0000211	striatonigral degeneration,multiple system atrophy,synucleinopathy,inborn errors of metabolism,hereditary disease,human disease,disease
UMLS:C0007099	MONDO:0004647	carcinoma,cancer,neoplasm,neoplastic disease or syndrome,cancer or benign tumor,human disease,disease
UMLS:C0008313	MONDO:0018646	cholangitis,non-neoplastic bile duct disorder,bile duct disorder,biliary tract disorder,hepatobiliary disorder,digestive system disorder,human disease,disease
UMLS:C1387923	MONDO:0017436	hereditary disease,human disease,disease
UMLS:C0206644	MONDO:0002989	histiocytoma,neoplasm,neoplastic disease or syndrome,cancer or benign tumor,human disease,disease
UMLS:C1849394	MONDO:0100288	vitreoretinal degeneration,vitreous syneresis,vitreous disorder,vitreous body disorder,eye disorder,disorder of orbital region,human disease,disease
UMLS:C0375359	MONDO:0005101	colitis,gastroenteritis,intestinal disorder,digestive system disorder,human disease,disease
UMLS:C0014553	MONDO:0850093, MONDO:0010826	electroclinical syndrome,epilepsy,brain disorder,central nervous system disorder,nervous system disorder,human disease,disease
UMLS:C0042133	MONDO:0001572, MONDO:0007886	benign smooth muscle neoplasm,benign muscle neoplasm,musculoskeletal system benign neoplasm,musculoskeletal system disorder,human disease,disease
UMLS:C0342151	MONDO:0012360, MONDO:0013757, MONDO:0009154, MONDO:0010139, MONDO:0010142, MONDO:0024264, MONDO:0010475	hypothyroidism, congenital, nongoitrous,hereditary disease,human disease,disease
UMLS:C0003872	MONDO:0011849	syndromic disease,human disease,disease
UMLS:C0034933	MONDO:0007774	hereditary disease,human disease,disease
UMLS:C2936694	MONDO:0010765	gonadal dysgenesis,hypogonadism,gonadal disorder,reproductive system disorder,human disease,disease
UMLS:C1541923	MONDO:0005025, MONDO:0000565	endocardium disorder,heart disorder,cardiovascular disorder,human disease,disease
UMLS:C5444223	MONDO:0859156	dysostosis,bone development disease,bone disorder,skeletal system disorder,musculoskeletal system disorder,human disease,disease
UMLS:C4310796	MONDO:0014831	hereditary disorder of connective tissue,hereditary disease,human disease,disease
UMLS:C4748579	MONDO:0032586	congenital diarrhea,diarrheal disease,digestive system disorder,human disease,disease
UMLS:C1859372	MONDO:0008895	hereditary disease,human disease,disease
UMLS:C1853833	MONDO:0011613	young-onset Parkinson disease,Parkinson disease,parkinsonian disorder,basal ganglia disorder,brain disorder,central nervous system disorder,nervous system disorder,human disease,disease
UMLS:C3808971	MONDO:0014102	Kallmann syndrome,syndromic disease,human disease,disease
UMLS:C0007398	MONDO:0800105	psychiatric disorder,human disease,disease
UMLS:C0085547	MONDO:0009861, MONDO:0016366	autosomal recessive disease,autosomal genetic disease,hereditary disease,human disease,disease
UMLS:C0152419	MONDO:0009010, MONDO:0016581	congenital anomaly of the great arteries,congenital heart malformation,congenital anomaly of cardiovascular system,cardiovascular disorder,human disease,disease
UMLS:C5700127	MONDO:0007646	syndromic disease,human disease,disease
UMLS:C4016264		disease
UMLS:C0001080	MONDO:0007037	osteochondrodysplasia,bone development disease,bone disorder,skeletal system disorder,musculoskeletal system disorder,human disease,disease
UMLS:C5681199	MONDO:0018643	inherited disease susceptibility,disease susceptibility
UMLS:C0007140	MONDO:0002928	malignant mixed neoplasm,cancer,neoplasm,neoplastic disease or syndrome,cancer or benign tumor,human disease,disease
UMLS:C1838659		disease
UMLS:C0018817	MONDO:0011938, MONDO:0013567, MONDO:0006664, MONDO:0013750, MONDO:0013770, MONDO:0012654, MONDO:0007172, MONDO:0007173, MONDO:0013011, MONDO:0013123	atrial septal defect,heart septal defect,congenital heart disease,heart disorder,cardiovascular disorder,human disease,disease
UMLS:C0031485	MONDO:0009861	autosomal recessive disease,autosomal genetic disease,hereditary disease,human disease,disease
UMLS:C5394226	MONDO:0030004	autism, susceptiblity to,inherited disease susceptibility,disease susceptibility
UMLS:C0020672		disease
UMLS:C0162823	MONDO:0006564	contact dermatitis,dermatitis,skin disorder,integumentary system disorder,human disease,disease
UMLS:C0043345	MONDO:0019269	epidermal disease,skin disorder,integumentary system disorder,human disease,disease
UMLS:C4014648	MONDO:0014395	familial amyotrophic lateral sclerosis,amyotrophic lateral sclerosis,anterior horn disorder,spinal cord disorder,central nervous system disorder,nervous system disorder,human disease,disease
UMLS:C1861689	MONDO:0001029, MONDO:0007306	musculoskeletal system disorder,human disease,disease
UMLS:C1269683	MONDO:0002009	depressive disorder,mood disorder,mental disorder,psychiatric disorder,human disease,disease
UMLS:C0271385	MONDO:0004843	ocular motility disease,cranial nerve neuropathy,nervous system disorder,human disease,disease
UMLS:C0271093	MONDO:0019353	age-related macular degeneration,degeneration of macula and posterior pole,macular degeneration,retinal degeneration,retinal disorder,nervous system disorder,human disease,disease
UMLS:C0004045	MONDO:0006663	respiratory system disorder,human disease,disease
UMLS:C1292774	MONDO:0015166, MONDO:0850492	acute myeloid leukemia,myeloid leukemia,leukemia,hematopoietic and lymphoid cell neoplasm,hematopoietic and lymphoid system neoplasm,neoplasm,neoplastic disease or syndrome,cancer or benign tumor,human disease,disease
UMLS:C4305002	MONDO:0010172	syndromic disease,human disease,disease
UMLS:C1856019		disease
UMLS:C0221757	MONDO:0013282	syndromic disease,human disease,disease
UMLS:C0268146	MONDO:0009288	constitutional neutropenia,neutropenia,agranulocytosis,leukopenia,leukocyte disorder,immune system disorder,human disease,disease
UMLS:C2677180		disease
UMLS:C3151139	MONDO:0013437	retinitis pigmentosa,inherited retinal dystrophy,retinal degeneration,retinal disorder,nervous system disorder,human disease,disease
UMLS:C0265581	MONDO:0019671	hemimelia,dysostosis,bone development disease,bone disorder,skeletal system disorder,musculoskeletal system disorder,human disease,disease
UMLS:C1527338	MONDO:0005620, MONDO:0007098	cerebrovascular disorder,brain disorder,central nervous system disorder,nervous system disorder,human disease,disease
UMLS:C0206655	MONDO:0009994	rhabdomyosarcoma,soft tissue sarcoma,sarcoma,cancer,neoplasm,neoplastic disease or syndrome,cancer or benign tumor,human disease,disease
UMLS:C2317073		disease
UMLS:C0003496		disease
UMLS:C0268487	MONDO:0004741, MONDO:0010160	disorder of tyrosine metabolism,inborn disorder of amino acid and other organic acid metabolism,inborn errors of metabolism,hereditary disease,human disease,disease
UMLS:C0271577	MONDO:0009876, MONDO:0007794, MONDO:0007844, MONDO:0012528, MONDO:0014461, MONDO:0009482, MONDO:0005152, MONDO:0018555, MONDO:0013910, MONDO:0013911, MONDO:0013912, MONDO:0013913, MONDO:0013914, MONDO:0013915, MONDO:0013926, MONDO:0013946, MONDO:0013961, MONDO:0014102, MONDO:0014103, MONDO:0014105, MONDO:0014106, MONDO:0014107, MONDO:0012880, MONDO:0012988, MONDO:0013006, MONDO:0010615, MONDO:0010635	isolated congenital growth hormone deficiency,combined pituitary hormone deficiencies, genetic form,congenital nervous system disorder,nervous system disorder,human disease,disease
UMLS:C1833683	MONDO:0957318	nephrolithiasis,kidney disorder,urinary system disorder,human disease,disease
UMLS:C4225303	MONDO:0014670	lethal congenital contracture syndrome,hereditary disease,human disease,disease
UMLS:C0023467	MONDO:0018874, MONDO:0015667	myeloid leukemia,leukemia,hematopoietic and lymphoid cell neoplasm,hematopoietic and lymphoid system neoplasm,neoplasm,neoplastic disease or syndrome,cancer or benign tumor,human disease,disease
UMLS:C0270914	MONDO:0018993, MONDO:0019941, MONDO:0015626	Charcot-Marie-Tooth disease,hereditary peripheral neuropathy,peripheral neuropathy,peripheral nervous system disorder,nervous system disorder,human disease,disease
UMLS:C0035344	MONDO:0006952	FZD4-related exudative vitreoretinopathy,exudative vitreoretinopathy,retinal vascular disorder,retinal disorder,nervous system disorder,human disease,disease
UMLS:C4290088	MONDO:0001609, MONDO:0018542	leukopenia,leukocyte disorder,immune system disorder,human disease,disease
UMLS:C5193020	MONDO:0032668	Diamond-Blackfan anemia,pure red-cell aplasia,anemia,hematologic disorder,human disease,disease
UMLS:C3658267	MONDO:0850353	prostate carcinoma,carcinoma,cancer,neoplasm,neoplastic disease or syndrome,cancer or benign tumor,human disease,disease
UMLS:C0546125	MONDO:0018958, MONDO:0015738	congenital structural myopathy,congenital myopathy,myopathy,skeletal muscle disorder,muscle tissue disorder,musculoskeletal system disorder,human disease,disease
UMLS:C0162568	MONDO:0001676, MONDO:0008319, MONDO:0019263	hepatic porphyria,liver disorder,hepatobiliary disorder,digestive system disorder,human disease,disease
UMLS:C0399372	MONDO:0015048	amelogenesis imperfecta,hereditary disease,human disease,disease
UMLS:C1720824	MONDO:0100511	cardiac rhythm disease,heart disorder,cardiovascular disorder,human disease,disease
UMLS:C0432242	MONDO:0015426	hereditary disease,human disease,disease
UMLS:C0012242	MONDO:0004335	human disease,disease
UMLS:C2200127		disease
UMLS:C3552553	MONDO:0012880	Kallmann syndrome,syndromic disease,human disease,disease
UMLS:C0029799	MONDO:0000986	pleural disorder,lower respiratory tract disorder,respiratory system disorder,human disease,disease
UMLS:C0751651	MONDO:0004069, MONDO:0044970	developmental anomaly of metabolic origin,metabolic disease,human disease,disease
UMLS:C5679993	MONDO:0018698	hereditary disease,human disease,disease
UMLS:C1869117	MONDO:0700088	paroxysmal dyskinesia,paroxysmal dystonia,combined dystonia,inherited dystonia,dystonic disorder,extrapyramidal and movement disease,movement disorder,nervous system disorder,human disease,disease
UMLS:C0025500	MONDO:0002373, MONDO:0005065	mesothelioma,mesothelial neoplasm,neoplasm,neoplastic disease or syndrome,cancer or benign tumor,human disease,disease
UMLS:C4015729	MONDO:0014555	generalized peeling skin syndrome,peeling skin syndrome,inherited ichthyosis,ichthyosis,epidermal disease,skin disorder,integumentary system disorder,human disease,disease
UMLS:C1864872	MONDO:0012495	spondyloepimetaphyseal dysplasia,osteochondrodysplasia,bone development disease,bone disorder,skeletal system disorder,musculoskeletal system disorder,human disease,disease
UMLS:C1135196	MONDO:0006727	congestive heart failure,heart failure,heart disorder,cardiovascular disorder,human disease,disease
UMLS:C0085583		disease
UMLS:C0270855	MONDO:0016022	neonatal period electroclinical syndrome,electroclinical syndrome,epilepsy,brain disorder,central nervous system disorder,nervous system disorder,human disease,disease
UMLS:C0029866	MONDO:0003329	ureteral disorder,urinary system disorder,human disease,disease
UMLS:C0021390	MONDO:0005265	hereditary disease,human disease,disease
UMLS:C4748768	MONDO:0032616	mitochondrial complex I deficiency, nuclear type,mitochondrial complex I deficiency,mitochondrial complex deficiency,inborn mitochondrial metabolism disorder,developmental anomaly of metabolic origin,metabolic disease,human disease,disease
UMLS:C3551954	MONDO:0011829, MONDO:0018151	coenzyme Q10 deficiency,mitochondrial oxidative phosphorylation disorder,inborn mitochondrial metabolism disorder,developmental anomaly of metabolic origin,metabolic disease,human disease,disease
UMLS:C1800706	MONDO:0800029	idiopathic interstitial pneumonia,pneumonia,respiratory tract infectious disorder,respiratory system disorder,human disease,disease
UMLS:C0028797	MONDO:0100366	human disease,disease
UMLS:C1848070		disease
UMLS:C4225404	MONDO:0012274	acromesomelic dysplasia,osteochondrodysplasia,bone development disease,bone disorder,skeletal system disorder,musculoskeletal system disorder,human disease,disease
UMLS:C1857586	MONDO:0016581	congenital heart malformation,congenital anomaly of cardiovascular system,cardiovascular disorder,human disease,disease
UMLS:C0221217		disease
UMLS:C3151192	MONDO:0013449	Leber congenital amaurosis,congenital nervous system disorder,nervous system disorder,human disease,disease
UMLS:C4025797		disease
UMLS:C0342643	MONDO:0009430, MONDO:0017324	autosomal recessive hypophosphatemic rickets,hereditary hypophosphatemic rickets,hereditary disease,human disease,disease
UMLS:C0023470	MONDO:0004643	leukemia,hematopoietic and lymphoid cell neoplasm,hematopoietic and lymphoid system neoplasm,neoplasm,neoplastic disease or syndrome,cancer or benign tumor,human disease,disease
UMLS:C4552043	MONDO:0012400	syndromic disease,human disease,disease
UMLS:C0158449	MONDO:0005380	bone disorder,skeletal system disorder,musculoskeletal system disorder,human disease,disease
UMLS:C0854893	MONDO:0016982	vascular cancer,cardiovascular cancer,cancer,neoplasm,neoplastic disease or syndrome,cancer or benign tumor,human disease,disease
UMLS:C2751321	MONDO:0013115	inherited cutis laxa,hereditary disease,human disease,disease
UMLS:C0162834	MONDO:0019289	skin pigmentation disorder,skin disorder,integumentary system disorder,human disease,disease
UMLS:C3552311		disease
UMLS:C5774315		disease
UMLS:C0007097	MONDO:0004993	cancer,neoplasm,neoplastic disease or syndrome,cancer or benign tumor,human disease,disease
UMLS:C0239842		disease
UMLS:C0023462	MONDO:0018872	acute myeloid leukemia by FAB classification,acute myeloid leukemia,myeloid leukemia,leukemia,hematopoietic and lymphoid cell neoplasm,hematopoietic and lymphoid system neoplasm,neoplasm,neoplastic disease or syndrome,cancer or benign tumor,human disease,disease
UMLS:C0002882	MONDO:0006506	congenital anemia,anemia,hematologic disorder,human disease,disease
UMLS:C3809001	MONDO:0014110	early-onset non-syndromic cataract,cataract,lens disorder,eye disorder,disorder of orbital region,human disease,disease
UMLS:C3495591	MONDO:0007311	Charcot-Marie-Tooth disease type 1,Charcot-Marie-Tooth disease,hereditary peripheral neuropathy,peripheral neuropathy,peripheral nervous system disorder,nervous system disorder,human disease,disease
UMLS:C4012212		disease
UMLS:C0002940	MONDO:0005385	cardiovascular disorder,human disease,disease
UMLS:C2931004	MONDO:0011964	congenital disorder of glycosylation type I,congenital disorder of glycosylation,inborn errors of metabolism,hereditary disease,human disease,disease
UMLS:C5197805		disease
UMLS:C0751955	MONDO:0005394	cerebrovascular disorder,brain disorder,central nervous system disorder,nervous system disorder,human disease,disease
UMLS:C4277682	MONDO:0005359	liver disorder,hepatobiliary disorder,digestive system disorder,human disease,disease
UMLS:C0029810	MONDO:0001356	hypochromic microcytic anemia,microcytic anemia,anemia,hematologic disorder,human disease,disease
UMLS:C4540358	MONDO:0044718	leukodystrophy,inherited neurodegenerative disorder,neurodegenerative disease,central nervous system disorder,nervous system disorder,human disease,disease
UMLS:C1847605	MONDO:0000724, MONDO:0011711	language disorder,communication disorder,specific developmental disorder,developmental disorder of mental health,mental disorder,psychiatric disorder,human disease,disease
UMLS:C5543491	MONDO:0859160	mitochondrial complex IV deficiency, nuclear-type,mitochondrial complex deficiency,inborn mitochondrial metabolism disorder,developmental anomaly of metabolic origin,metabolic disease,human disease,disease
UMLS:C0008924	MONDO:0004747, MONDO:0016043	orofacial cleft,hereditary disease,human disease,disease
UMLS:C0349506	MONDO:0005434, MONDO:0006597	photosensitivity disease,radiodermatitis,dermatitis,skin disorder,integumentary system disorder,human disease,disease
UMLS:C3896578	MONDO:0018604	hereditary nonpolyposis colon cancer,hereditary neoplastic syndrome,hereditary disease,human disease,disease
UMLS:C0013338	MONDO:0009876, MONDO:0000050, MONDO:0007794, MONDO:0007844, MONDO:0012528, MONDO:0014461, MONDO:0009482, MONDO:0005152, MONDO:0006909, MONDO:0018555, MONDO:0013910, MONDO:0013911, MONDO:0013912, MONDO:0013913, MONDO:0013914, MONDO:0013915, MONDO:0013926, MONDO:0013946, MONDO:0013961, MONDO:0014102, MONDO:0014103, MONDO:0014105, MONDO:0014106, MONDO:0014107, MONDO:0012880, MONDO:0012988, MONDO:0013006, MONDO:0010615, MONDO:0010635	isolated congenital growth hormone deficiency,combined pituitary hormone deficiencies, genetic form,congenital nervous system disorder,nervous system disorder,human disease,disease
UMLS:C0027720	MONDO:0002331	kidney disorder,urinary system disorder,human disease,disease
UMLS:C0162770		disease
UMLS:C5543257	MONDO:0031007	congenital nervous system disorder,nervous system disorder,human disease,disease
UMLS:C0042487		disease
UMLS:C4747743	MONDO:0014267	T+ B+ severe combined immunodeficiency,severe combined immunodeficiency,combined immunodeficiency,immunodeficiency disease,hereditary disease,human disease,disease
UMLS:C1844020	MONDO:0018677, MONDO:0010607	syndromic disease,human disease,disease
